Date,Close,Difference,Return,Logarithmic Return
1/7/2022 16:00:00,21084.450,,,
1/14/2022 16:00:00,21357.560,273.110,0.012953,0.012870
1/21/2022 16:00:00,20621.390,-736.170,-0.034469,-0.035077
1/28/2022 16:00:00,20741.750,120.360,0.005837,0.005820
2/4/2022 16:00:00,21271.850,530.100,0.025557,0.025236
2/11/2022 16:00:00,21548.840,276.990,0.013021,0.012937
2/18/2022 16:00:00,21008.200,-540.640,-0.025089,-0.025409
2/25/2022 16:00:00,21106.000,97.800,0.004655,0.004645
3/4/2022 16:00:00,21402.430,296.430,0.014045,0.013947
3/11/2022 16:00:00,21461.830,59.400,0.002775,0.002772
3/18/2022 16:00:00,21818.470,356.640,0.016617,0.016481
3/25/2022 16:00:00,22005.940,187.470,0.008592,0.008556
4/1/2022 16:00:00,21952.950,-52.990,-0.002408,-0.002411
4/8/2022 16:00:00,21874.350,-78.600,-0.003580,-0.003587
4/14/2022 16:00:00,21855.700,-18.650,-0.000853,-0.000853
4/22/2022 16:00:00,21186.380,-669.320,-0.030625,-0.031103
4/29/2022 16:00:00,20762.000,-424.380,-0.020031,-0.020234
5/6/2022 16:00:00,20633.280,-128.720,-0.006200,-0.006219
5/13/2022 16:00:00,20099.810,-533.470,-0.025855,-0.026195
5/20/2022 16:00:00,20197.610,97.800,0.004866,0.004854
5/27/2022 16:00:00,20748.580,550.970,0.027279,0.026914
6/3/2022 16:00:00,20790.730,42.150,0.002031,0.002029
6/10/2022 16:00:00,20274.820,-515.910,-0.024814,-0.025127
6/17/2022 16:00:00,18930.480,-1344.340,-0.066306,-0.068606
6/24/2022 16:00:00,19062.910,132.430,0.006996,0.006971
6/30/2022 16:00:00,18861.360,-201.550,-0.010573,-0.010629
7/8/2022 16:00:00,19022.860,161.500,0.008562,0.008526
7/15/2022 16:00:00,18394.450,-628.410,-0.033034,-0.033592
7/22/2022 16:00:00,18982.920,588.470,0.031992,0.031491
7/29/2022 16:00:00,19692.920,710.000,0.037402,0.036720
8/5/2022 16:00:00,19620.130,-72.790,-0.003696,-0.003703
8/12/2022 16:00:00,20179.810,559.680,0.028526,0.028127
8/19/2022 16:00:00,20111.380,-68.430,-0.003391,-0.003397
8/26/2022 16:00:00,19873.290,-238.090,-0.011839,-0.011909
9/2/2022 16:00:00,19270.850,-602.440,-0.030314,-0.030783
9/9/2022 16:00:00,19773.340,502.490,0.026075,0.025741
9/16/2022 16:00:00,19385.880,-387.460,-0.019595,-0.019790
9/23/2022 16:00:00,18480.980,-904.900,-0.046678,-0.047803
9/30/2022 16:00:00,18444.220,-36.760,-0.001989,-0.001991
10/7/2022 16:00:00,18583.130,138.910,0.007531,0.007503
10/14/2022 16:00:00,18326.350,-256.780,-0.013818,-0.013914
10/21/2022 16:00:00,18860.950,534.600,0.029171,0.028754
10/28/2022 16:00:00,19471.190,610.240,0.032355,0.031842
11/4/2022 16:00:00,19449.810,-21.380,-0.001098,-0.001099
11/11/2022 16:00:00,20111.510,661.700,0.034021,0.033455
11/18/2022 16:00:00,19980.910,-130.600,-0.006494,-0.006515
11/25/2022 16:00:00,20383.770,402.860,0.020162,0.019962
12/2/2022 16:00:00,20485.660,101.890,0.004999,0.004986
12/9/2022 16:00:00,19947.070,-538.590,-0.026291,-0.026643
12/16/2022 16:00:00,19443.280,-503.790,-0.025256,-0.025581
12/23/2022 16:00:00,19506.650,63.370,0.003259,0.003254
12/30/2022 16:00:00,19384.920,-121.730,-0.006240,-0.006260
